"","b_LW_PFat","b_LW_PFat.1"
"1",0.0184925,0.0184925
"2",0.0198839,0.0198839
"3",0.018451,0.018451
"4",0.019476,0.019476
"5",0.0200347,0.0200347
"6",0.0184304,0.0184304
"7",0.0192019,0.0192019
"8",0.0201753,0.0201753
"9",0.0199994,0.0199994
"10",0.0198797,0.0198797
"11",0.0201591,0.0201591
"12",0.0197947,0.0197947
"13",0.0198952,0.0198952
"14",0.0190075,0.0190075
"15",0.018957,0.018957
"16",0.0197099,0.0197099
"17",0.0178,0.0178
"18",0.0192867,0.0192867
"19",0.0187913,0.0187913
"20",0.0187887,0.0187887
"21",0.0204845,0.0204845
"22",0.0186878,0.0186878
"23",0.0193984,0.0193984
"24",0.0188349,0.0188349
"25",0.0189374,0.0189374
"26",0.0198133,0.0198133
"27",0.0191865,0.0191865
"28",0.0187195,0.0187195
"29",0.0189409,0.0189409
"30",0.0200331,0.0200331
"31",0.0184068,0.0184068
"32",0.0193801,0.0193801
"33",0.0189292,0.0189292
"34",0.0192662,0.0192662
"35",0.0185446,0.0185446
"36",0.0188776,0.0188776
"37",0.0184003,0.0184003
"38",0.0193201,0.0193201
"39",0.0193533,0.0193533
"40",0.0200455,0.0200455
"41",0.0199929,0.0199929
"42",0.0200614,0.0200614
"43",0.0188331,0.0188331
"44",0.0198054,0.0198054
"45",0.0187191,0.0187191
"46",0.0190712,0.0190712
"47",0.0197035,0.0197035
"48",0.0184451,0.0184451
"49",0.0190679,0.0190679
"50",0.0194958,0.0194958
"51",0.0190974,0.0190974
"52",0.0197638,0.0197638
"53",0.018189,0.018189
"54",0.02046,0.02046
"55",0.018465,0.018465
"56",0.0194352,0.0194352
"57",0.0184304,0.0184304
"58",0.0189614,0.0189614
"59",0.0196555,0.0196555
"60",0.0193188,0.0193188
"61",0.0194342,0.0194342
"62",0.0187489,0.0187489
"63",0.0192485,0.0192485
"64",0.0195044,0.0195044
"65",0.0192222,0.0192222
"66",0.0194387,0.0194387
"67",0.0185593,0.0185593
